ID,SMILES,IC50,pIC50,Assay Type,Document ChEMBL ID,Category,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code
CHEMBL1258048,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccnc2)c1,2894,5.54,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,337.42,2.75,inactive,0
CHEMBL1258164,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccn2)c1,19001,4.72,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,337.42,2.75,inactive,0
CHEMBL1258279,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1,1826,5.74,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,342.48,3.74,inactive,0
CHEMBL1258280,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccc3c(c2)OCO3)c1,307,6.51,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,380.44,3.09,intermediate,1
CHEMBL1258391,CS(=O)(=O)Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,576,6.24,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,428.55,2.9,intermediate,1
CHEMBL1258392,Cn1cc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cn1,9432,5.03,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,340.43,2.09,inactive,0
CHEMBL1258502,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)N2CCCC2)c1,21090,4.68,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,357.45,1.78,inactive,0
CHEMBL1258503,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)Nc2ccccc2)c1,253,6.6,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,379.46,2.8,intermediate,1
CHEMBL1258615,CC(c1ccccc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,19837,4.7,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.92,inactive,0
CHEMBL1258616,Cc1ccc(C(C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,8504,5.07,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,370.52,4.29,inactive,0
CHEMBL1258724,Cc1ccccc1C(C)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,16785,4.78,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,364.49,4.23,inactive,0
CHEMBL1258725,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2CCCc3ccccc32)c1,22696,4.64,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,376.5,4.24,inactive,0
CHEMBL1258845,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2CCCCC2)c1,9410,5.03,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,328.46,3.49,inactive,0
CHEMBL1369123,Oc1c(C=Nc2cccc3cccnc23)sc2ccccc12,897,6.05,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2478, AID488842]",7,PubChem BioAssays,,,304.37,4.91,intermediate,1
CHEMBL13786,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,13,7.89,F,CHEMBL3734657,agonist,Agonist activity at mu opioid receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation by bioluminescent assay,1,Scientific Literature,J Med Chem,2015,573.67,-0.46,active,2
CHEMBL1455766,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,14000,4.85,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,479.65,4.11,inactive,0
CHEMBL1461661,O=C(NC(NC(=S)Nc1c(Cl)cccc1Cl)C(Cl)(Cl)Cl)OCc1ccccc1,8430,5.07,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2478, AID488842]",7,PubChem BioAssays,,,501.65,5.9,inactive,0
CHEMBL147511,O=C(CCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,16,7.8,F,CHEMBL1154777,antagonist,Antagonist activity at human mu opioid receptor expressed in CHO cells assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,J Med Chem,2009,789.16,11.04,active,2
CHEMBL1511139,CC(=O)c1ccc(S(=O)(=O)NCc2ccc(C(=O)NCC(c3ccccc3)N(C)C)cc2)cc1,1920,5.72,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2478, AID488842]",7,PubChem BioAssays,,,479.6,3.4,inactive,0
CHEMBL1698780,CCN(CCNC(=O)c1ccc(CNS(=O)(=O)c2ccccc2)cc1)Cc1ccccc1,2030,5.69,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,451.59,3.42,inactive,0
CHEMBL1698790,CC(C)OC(=O)C1(N(Cc2ccco2)C(=O)c2ccccn2)CCCCC1,15000,4.82,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,370.45,3.97,inactive,0
CHEMBL1699035,CCN(CCNC(=O)c1ccc(CNS(=O)(=O)c2ccc(OC)cc2)cc1)Cc1ccccc1,12600,4.9,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,481.62,3.43,inactive,0
CHEMBL1699195,Cc1ccc(Cl)cc1N1CCN(CCNC(=O)Cn2c(=O)c3cccn3c3cccnc32)CC1,3980,5.4,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,478.98,2.55,inactive,0
CHEMBL1700772,CC(C)c1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,660,6.18,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,507.7,4.93,intermediate,1
CHEMBL1702166,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN3CCC(c4ccccc4)CC3)cc2)cc1,3880,5.41,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,491.66,4.08,inactive,0
CHEMBL1702620,COc1ccc(N2CCN(CCCNC(=O)Cn3c(=O)c4cccn4c4c(C)ccnc43)CC2)c(OC)c1,30900,4.51,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,518.62,2.3,inactive,0
CHEMBL1702752,COc1ccc(N2CCN(CCCNC(=O)Cn3c(=O)c4cccn4c4cc(Br)cnc43)CC2)c(OC)c1,10200,4.99,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,583.49,2.76,inactive,0
CHEMBL1704988,Cc1ccnc2c1n1cccc1c(=O)n2CC(=O)NCCCN1CCN(c2ccc3c(c2)OCO3)CC1,17200,4.76,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,502.58,2.01,inactive,0
CHEMBL1707988,O=C(Cn1c(=O)c2cccn2c2cc(Br)cnc21)NCCCN1CCN(c2ccc(Cl)cc2)CC1,5320,5.27,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,557.88,3.39,inactive,0
CHEMBL1711929,COc1ccc(N2CCN(CCCNC(=O)Cn3c(=O)c4cccn4c4cc(Br)cnc43)CC2)cc1,10300,4.99,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,553.46,2.75,inactive,0
CHEMBL1712885,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCCN3CCN(c4ccccc4)CC3)cc2)cc1,469,6.33,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,506.67,3.42,intermediate,1
CHEMBL1713635,COc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,9600,5.02,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,495.65,3.81,inactive,0
CHEMBL1713943,COc1ccc(CN(CCNC(=O)c2ccc(CNS(=O)(=O)c3ccccc3)cc2)C(C)C)cc1,14300,4.84,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,495.65,3.81,inactive,0
CHEMBL1713967,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)(C)C)cc2)cc1,1390,5.86,F,CHEMBL1201862,antagonist,"PUBCHEM_BIOASSAY: SAR Analysis of Antagonists of the MOR Receptor using an Image-Based Assay - Set 3. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1777, AID1785, AID1786, AID1966, AID2133, AID2136, AID2284, AID2285, AID2420]",7,PubChem BioAssays,,,493.67,4.5,inactive,0
