ID,SMILES,IC50,pIC50,Assay Type,Document ChEMBL ID,Category,Category_broad,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code,MW,LogP,LogS,nHA,nHD,TPSA,Druglikeness,Molecular_Flexibility,Molecular_Complexity,nHET,nRot,nAro,Globularity_SVD,Globularity_Vol,pc1,pc2,pc3,CSK_frequency,Scaffold_frequency
CHEMBL114803,CN1CCC23c4c5ccc(O)c4OC2c2nc(O)ncc2CC3(O)C1C5,110.25,6.96,F,CHEMBL1131901,agonist,agonist,Agonistic activity against human opioid Mu receptor transfected into Chinese hamster ovary (CHO) cells using [3H]-DAMGO as radioligand,1,Scientific Literature,Bioorg Med Chem Lett,1999,353.38,0.81,intermediate,1,353.377,0.9659,-2.128,7,3,98.94,5.4697,0.17524,1.0791,7,0,2,0.47471,0.80344,-0.5273049274,2.032945132,-0.4989891264,3,3
CHEMBL1190199,CN(C(=O)C(c1ccccc1)c1ccccc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,60000,4.22,F,CHEMBL3393059,agonist,agonist,Agonist activity at human mu opioid receptor expressed in COS7 cells after 60 mins IP1 assay,1,Scientific Literature,Bioorg Med Chem Lett,2015,414.55,4.08,inactive,0,414.547,3.8278,-3.177,4,1,43.78,6.3234,0.52895,0.75547,4,7,3,0.49472,0.72428,-1.115016342,0.7375874373,0.558892772,1,1
CHEMBL1198307,CCOc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,43795,4.36,F,CHEMBL1201862,agonist,agonist,PubChem BioAssay. Counterscreen for agonists of heterodimerization of the mu 1 (OPRM1) and delta 1 (OPRD1) opioid receptors: Luminescence-based cell-based high throughput dose response assay to identify agonists of OPRM1 homodimerization. (Class of assay: confirmatory),7,PubChem BioAssays,,,314.39,5.53,inactive,0,314.387,5.1592,-5.719,3,1,34.15,-2.6308,0.39687,0.78115,3,4,4,0.31722,0.72217,-1.594289201,-0.8582124619,-0.1552678521,1,1
CHEMBL1200531,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl,781.41,6.11,F,CHEMBL1201862,agonist,agonist,PubChem BioAssay. Counterscreen for agonists of heterodimerization of the mu 1 (OPRM1) and delta 1 (OPRD1) opioid receptors: Luminescence-based cell-based high throughput dose response assay to identify agonists of OPRM1 homodimerization. (Class of assay: confirmatory),7,PubChem BioAssays,,,452.99,1.38,intermediate,1,452.985,2.1214,-2.317,9,0,81.05,6.9871,0.56959,0.83603,9,9,1,0.42888,0.69769,-0.17839029,1.472307822,0.6276012535,1,1
CHEMBL1201776,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,670,6.17,F,CHEMBL2046316,agonist,agonist,Agonist activity at human mu opioid receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation after 1 hr by HTRF assay,1,Scientific Literature,ACS Med Chem Lett,2012,221.34,3.08,intermediate,1,221.343,2.9215,-2.014,2,1,23.47,4.4515,0.63295,0.63799,2,5,1,0.62097,0.8048,-1.756322691,1.78525574,0.5442459997,1,1
CHEMBL1204084,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)c1ccc2cc(O)ccc2c1.Cl,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,497.08,5.31,intermediate,1,497.077,5.2519,-5.504,5,3,72.8,4.6603,0.45849,0.82887,5,6,3,0.37945,0.6906,-0.7003995204,-0.9162854422,-0.0159864677,9,1
CHEMBL1204085,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CS1.Cl,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,519.15,4.7,intermediate,1,519.148,4.7497,-4.929,5,3,98.1,7.1671,0.41918,0.85083,6,6,2,0.32847,0.68982,-0.4922927993,-0.5086234425,0.00883582725,9,1
CHEMBL1223815,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)s1,721,6.14,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,356.49,3.73,intermediate,1,356.489,3.245,-4.539,4,1,83.8,3.7242,0.39266,0.79656,5,5,2,0.32481,0.71846,-0.9745292812,0.123189454,-0.1340257423,7,1
CHEMBL1223816,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1,1826,5.74,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,342.48,3.74,inactive,0,342.481,3.2846,-4.378,4,1,55.56,-1.7132,0.41184,0.80188,4,5,1,0.32881,0.73322,-1.159816225,0.2208909788,-0.04029739046,27,2
CHEMBL1223870,CN(C)C(=O)N[C@H]1CC[C@H](CCN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,18862,4.72,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,442.6,3.38,inactive,0,442.602,2.8928,-4.34,7,2,87.9,2.2856,0.48087,0.808,7,7,1,0.2677,0.6747,-0.3195780607,0.2078982619,-0.00104867718,3,2
CHEMBL1223871,CN(C)C(=O)N[C@H]1CC[C@@H](CN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,18513,4.73,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,428.58,2.99,inactive,0,428.575,2.4384,-4.07,7,2,87.9,2.4229,0.47357,0.81339,7,6,1,0.35466,0.69742,-0.3460888411,0.471799054,-0.1024866989,27,2
CHEMBL1223872,CN(C)C(=O)N[C@H]1CC[C@@H](CCN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,16334,4.79,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,442.6,3.38,inactive,0,442.602,2.8928,-4.34,7,2,87.9,2.2856,0.48087,0.808,7,7,1,0.29409,0.67222,-0.3195780607,0.2078982619,-0.00104867718,3,2
CHEMBL1223873,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,10682,4.97,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,336.44,3.36,inactive,0,336.434,2.9523,-4.075,4,1,55.56,1.8402,0.3986,0.80497,4,5,2,0.32851,0.72828,-1.144393417,0.4626676791,-0.01513169225,27,6
CHEMBL1223951,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,10681,4.97,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,336.44,3.36,inactive,0,336.434,2.9523,-4.075,4,1,55.56,1.8402,0.3986,0.80497,4,5,2,0.35698,0.72409,-1.144393417,0.4626676791,-0.01513169225,27,8
CHEMBL1223952,NC(=O)c1cccc(C[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,3941,5.4,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,334.46,3.77,inactive,0,334.461,3.5702,-4.312,3,1,46.33,1.6882,0.46702,0.80497,3,5,2,0.3582,0.73011,-1.357537792,0.2162554677,0.04519171359,27,1
CHEMBL1223953,NC(=O)c1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,11910,4.92,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,334.46,3.77,inactive,0,334.461,3.5702,-4.312,3,1,46.33,1.6882,0.46702,0.80497,3,5,2,0.38419,0.72595,-1.357537792,0.2162554677,0.04519171359,27,1
CHEMBL1223954,NC(=O)c1cccc(S[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,3077,5.51,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,352.5,4.07,inactive,0,352.501,3.5713,-4.655,3,1,71.63,3.3338,0.49149,0.79764,4,5,2,0.3834,0.73375,-1.172049251,-9.85E-05,-0.08246841827,27,1
CHEMBL1224065,NC(=O)c1cccc(N[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,17039,4.77,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,335.45,3.39,inactive,0,335.45,2.6693,-4.117,4,2,58.36,1.8545,0.4148,0.80497,4,5,2,0.33993,0.71788,-1.013219631,0.5001847511,-0.1042451559,27,1
CHEMBL1224139,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,8084,5.09,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,354.43,3.5,inactive,0,354.424,3.0531,-4.389,4,1,55.56,0.50024,0.39735,0.82494,5,5,2,0.38144,0.72768,-1.05507602,0.2411689112,-0.08616488104,27,6
CHEMBL1224140,Cc1cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)cc(C(N)=O)c1,17039,4.77,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,inactive,0,350.46,3.2962,-4.419,4,1,55.56,1.7982,0.39735,0.82134,4,5,2,0.36989,0.71713,-1.146951215,0.1871470713,-0.04740689214,27,6
CHEMBL1224215,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,419,6.38,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,intermediate,1,350.46,3.2962,-4.419,4,1,55.56,1.7982,0.32413,0.81625,4,5,2,0.34602,0.72624,-1.146951215,0.1871470713,-0.04740689214,27,6
CHEMBL1224216,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c(F)c1,8188,5.09,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,354.43,3.5,inactive,0,354.424,3.0531,-4.389,4,1,55.56,0.50024,0.32413,0.82714,5,5,2,0.3209,0.72725,-1.05507602,0.2411689112,-0.08616488104,27,6
CHEMBL1224288,Oc1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,22230,4.65,F,CHEMBL1221377,antagonist,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,309.41,3.97,inactive,0,309.408,3.5193,-3.69,3,1,32.7,1.3194,0.37016,0.77625,3,4,2,0.3565,0.74571,-1.509079053,0.6253347071,0.1053802123,27,6
CHEMBL123693,CCCCCC(C)N,14,7.85,F,CHEMBL1132386,antagonist,antagonist,Antagonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,1999,115.22,1.91,active,2,115.219,1.8296,-2.011,1,1,26.02,-13.49,0.526,0.59725,1,4,0,0.36717,0.82296,-1.948912461,2.090640093,0.2839707713,0,0
CHEMBL1237044,COc1cccc(C2(O)CCCCC2CN(C)C)c1,1300,5.89,F,CHEMBL2046316,agonist,agonist,Agonist activity at human mu opioid receptor expressed in CHO cells assessed as inhibition of forskolin-induced cAMP accumulation after 1 hr by HTRF assay,1,Scientific Literature,ACS Med Chem Lett,2012,263.38,2.63,inactive,0,263.38,2.2768,-2.182,3,1,32.7,-1.5557,0.53082,0.77625,3,4,1,0.46081,0.78518,-1.504855518,1.772509923,0.2875778301,10,2
CHEMBL1254685,C[C@H]1CN(CCC(=O)Nc2ccccc2)[C@@H]2Cc3ccc(O)cc3[C@]1(C)C2,4.8,8.32,F,CHEMBL1250436,agonist,agonist,Agonist activity at mu opioid expressed in HEK293 cells assessed as inhibition of forskolin-stimulated cAMP accumulation,1,Scientific Literature,Bioorg Med Chem,2010,364.49,3.95,highly_active,3,364.487,3.7567,-4.12,4,2,52.57,4.733,0.39735,0.88315,4,4,2,0.34301,0.72579,-1.159251461,0.2940509964,-0.03492308284,1,1
CHEMBL1255595,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)o1,10854,4.96,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,340.42,3.26,inactive,0,340.422,2.5389,-4.125,5,1,68.7,0.94067,0.39541,0.83144,5,5,2,0.33342,0.71642,-0.9259016913,0.5034773149,-0.1212323043,7,1
CHEMBL1257347,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,2698,5.57,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,370.52,4.29,inactive,0,370.515,3.5317,-4.61,4,1,83.8,3.5645,0.39006,0.82315,5,5,2,0.37152,0.72409,-0.9829852356,0.01835827279,-0.1077793908,7,4
CHEMBL1257348,COc1cccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,1046,5.98,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,380.49,3.93,inactive,0,380.486,3.169,-4.164,5,1,64.79,1.6707,0.42973,0.84517,5,6,2,0.41216,0.7132,-0.9031017924,0.3196422936,0.07159740808,27,8
CHEMBL1257458,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cn1,1896,5.72,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,365.48,3.62,inactive,0,365.475,2.636,-3.719,5,1,68.45,1.5939,0.41426,0.85157,5,5,2,0.37682,0.72009,-0.9180011184,0.7018838528,-0.003622225078,27,3
CHEMBL1257459,C[C@H](c1ccnc(Cl)c1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,22931,4.64,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,385.89,3.97,inactive,0,385.894,2.9415,-3.85,5,1,68.45,1.6606,0.41426,0.82887,6,5,2,0.33295,0.72182,-0.857195323,0.5503791796,7.17E-05,27,2
CHEMBL1257577,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,9359,5.03,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,342.46,3.42,inactive,0,342.462,2.8189,-4.085,4,1,83.8,3.9559,0.38772,0.79048,5,5,2,0.35355,0.72795,-0.9674590989,0.4777365937,-0.08671814101,7,4
CHEMBL1257578,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,722,6.14,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,356.49,3.73,intermediate,1,356.489,3.245,-4.539,4,1,83.8,3.7242,0.39266,0.79656,5,5,2,0.34834,0.7141,-0.9745292812,0.123189454,-0.1340257423,7,4
CHEMBL1257579,C[C@H](c1ccc(Cl)nc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,1944,5.71,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,385.89,3.97,inactive,0,385.894,2.9415,-3.85,5,1,68.45,1.6606,0.41426,0.82757,6,5,2,0.39273,0.71734,-0.857195323,0.5503791796,7.17E-05,27,3
