ID,SMILES,Ki,pKi,Assay Type,Target ChEMBL ID,Target Name,Document ChEMBL ID,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code,CSK count,Murcko count
CHEMBL110816,CCC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,22.97,7.64,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,513.64,3.64,active,2,29,15
CHEMBL110894,CCCCC/N=C(\N)Cc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,25.29,7.6,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,540.71,4.66,active,2,29,15
CHEMBL110933,CCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,4130,5.38,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,328.89,4.96,inactive,0,15,15
CHEMBL113703,CCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,3.4,8.47,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,273.42,3.72,highly_active,3,30,15
CHEMBL114123,CCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,39,7.41,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,301.47,4.5,active,2,30,15
CHEMBL114163,CCCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,160,6.8,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,329.53,5.28,intermediate,1,30,15
CHEMBL114203,C[C@H]1C2Cc3ccc(O)cc3[C@@]1(C)CCN2,54,7.27,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,217.31,2.2,active,2,30,15
CHEMBL114358,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,27,7.57,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,315.5,4.89,active,2,30,15
CHEMBL115917,C[C@H]1C2Cc3ccc(O)cc3[C@@]1(C)CCN2C,4.2,8.38,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,231.34,2.55,highly_active,3,30,15
CHEMBL115998,CCCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@H]2C,259,6.59,B,CHEMBL233,Mu opioid receptor,CHEMBL1127360,Inhibition against mu receptor from displacement studies using 0.5 nM [3H]-DAMGO in rhesus monkey cortex membrane,1,Scientific Literature,J Med Chem,1994,315.5,4.89,intermediate,1,30,15
CHEMBL1161412,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1.2,8.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,559.71,2.62,highly_active,3,14,2
CHEMBL1161413,Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.24,9.62,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,516.68,3.76,highly_active,3,14,9
CHEMBL1161414,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0.17,9.77,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,559.71,2.62,highly_active,3,14,9
CHEMBL1161415,Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1.2,8.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,559.71,2.62,highly_active,3,14,9
CHEMBL1161416,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0.42,9.38,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,559.71,2.62,highly_active,3,14,9
CHEMBL1161417,Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1.6,8.8,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,559.71,2.62,highly_active,3,14,9
CHEMBL1161419,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1,0.69,9.16,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,555.68,1.49,highly_active,3,14,1
CHEMBL1161422,Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.72,9.14,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,516.68,3.76,highly_active,3,14,9
CHEMBL1161423,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)O[C@H](CO)Cc1ccccc1,0.44,9.36,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,547.69,3.55,highly_active,3,14,3
CHEMBL1161424,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)OCCc1ccccc1,0.24,9.62,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,517.67,4.19,highly_active,3,14,3
CHEMBL1161425,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)O[C@@H](Cc1ccccc1)C(N)=O,0.45,9.35,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,560.69,3.05,highly_active,3,14,3
CHEMBL1161427,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1ccccc1,0.16,9.8,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,546.71,3.13,highly_active,3,14,9
CHEMBL1161428,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.64,9.19,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,516.68,3.76,highly_active,3,14,2
CHEMBL1161429,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.37,9.43,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,516.68,3.76,highly_active,3,14,9
CHEMBL1161430,Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.29,9.54,B,CHEMBL233,Mu opioid receptor,CHEMBL1145973,Displacement of [3H]DAMGO from human Opioid receptor mu 1 expressing CHO cells,1,Scientific Literature,J Med Chem,2003,516.68,3.76,highly_active,3,14,9
