,ID,SMILES,Ki,pKi,Assay Type,Target ChEMBL ID,Target Name,Document ChEMBL ID,Assay Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code
10,CHEMBL104042,Oc1cccc2c1O[C@H]1CCC[C@H]3CN(CC4CC4)CC[C@@]231,0.08,10.1,B,CHEMBL233,Mu opioid receptor,CHEMBL1156815,Displacement of [125I]OXY from human mu opioid receptor expressed in CHO cells,J Med Chem,2010,299.41,3.31,highly_active,3
11,CHEMBL104169,CS[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1.1,8.96,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,237.37,2.28,highly_active,3
12,CHEMBL104200,CC1(C)c2cc(O)ccc2C[C@@H](S)[C@H]1N,163,6.79,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,223.34,1.85,intermediate,1
13,CHEMBL106043,N[C@@H](c1ccc(Oc2ccccc2)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5401,5.27,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,420.56,6.34,inactive,0
14,CHEMBL106084,CCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,2148,5.67,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,356.94,5.74,inactive,0
15,CHEMBL106155,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1494,5.83,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,370.97,6.13,inactive,0
16,CHEMBL106190,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,4705,5.33,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,360.9,5.48,inactive,0
17,CHEMBL106235,CCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,8067,5.09,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,314.86,4.57,inactive,0
18,CHEMBL106359,CCCCC(CCCC)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,9666,5.01,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,322.92,5.16,inactive,0
19,CHEMBL106366,CCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,6015,5.22,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,328.89,4.96,inactive,0
20,CHEMBL106432,CO[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1.8,8.74,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,221.3,1.57,highly_active,3
21,CHEMBL1066,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,2400,5.62,B,CHEMBL233,Mu opioid receptor,CHEMBL3808393,Displacement of [3H]naloxone from human MOR expressed in CHO-K1 cell membranes after 60 mins by microbeta scintillation counting method,ACS Med Chem Lett,2016,263.38,2.63,inactive,0
22,CHEMBL106758,CCC/N=C(\N)Cc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,13.48,7.87,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,J Med Chem,2003,512.65,3.88,active,2
23,CHEMBL106785,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3452,5.46,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,431.79,6.51,inactive,0
24,CHEMBL107207,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12CC(=C(C)C)[C@@H]3c1[nH]c3ccccc3c1C2,330,6.48,B,CHEMBL233,Mu opioid receptor,CHEMBL1145844,Binding affinity for human Opioid receptor mu 1 transfected into chinese hamster ovary cells by displacing [3H]DAMGO radioligand,J Med Chem,2003,440.59,5.45,intermediate,1
25,CHEMBL107288,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,2248,5.65,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,Bioorg Med Chem Lett,2002,342.91,5.35,inactive,0
26,CHEMBL107334,CC1(C)c2cc(O)ccc2C[C@@H](O)[C@H]1N,204,6.69,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,207.27,0.91,intermediate,1
27,CHEMBL107420,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12C/C(=C(/C)c1ccccc1)[C@@H]3c1[nH]c3ccccc3c1C2,13.4,7.87,B,CHEMBL233,Mu opioid receptor,CHEMBL1145844,Binding affinity for human Opioid receptor mu 1 transfected into chinese hamster ovary cells by displacing [3H]DAMGO radioligand,J Med Chem,2003,502.66,6.58,active,2
28,CHEMBL107442,CC1(C)c2cc(O)ccc2C[C@@H](S(C)(=O)=O)[C@H]1N,1151,5.94,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,269.37,0.97,inactive,0
29,CHEMBL107533,C[S+]([O-])[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1056,5.98,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,253.37,1.3,inactive,0
30,CHEMBL1075629,c1cc2c(cc1OCCCOc1ccc3c(c1)[C@@]14CCCC[C@H]1[C@@H](C3)N(CC1CCC1)CC4)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,7.1,8.15,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,663,9.25,highly_active,3
31,CHEMBL1076208,CNC(=O)CN1C(=O)OC2(CCN(C3CCC(C(C)C)CC3)CC2)c2ccccc21,108,6.97,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,413.56,3.9,intermediate,1
32,CHEMBL1076242,CNC(=O)CN1c2ccccc2N(C2CCN(C3CCC(C(C)C)CC3)CC2)S1(=O)=O,346,6.46,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,448.63,2.98,intermediate,1
33,CHEMBL107655,CCCCNC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,4.8,8.32,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,J Med Chem,2003,556.71,4.21,highly_active,3
34,CHEMBL1076554,Cc1cccc(O)c1C(=O)C1=CCCN2CCC[C@@H]12,45000,4.35,B,CHEMBL233,Mu opioid receptor,CHEMBL1154971,Displacement of [3H]DAMGO from human mu opioid receptor expressed in HEK293 cells,Bioorg Med Chem Lett,2010,257.33,2.68,inactive,0
35,CHEMBL1076572,OC(COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,0.95,9.02,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,679,8.22,highly_active,3
36,CHEMBL1076573,OC(COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)CC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,1.2,8.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,723.06,7.97,highly_active,3
37,CHEMBL1076574,OC(CCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,17,7.77,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,737.08,8.36,active,2
38,CHEMBL1076575,OC(CCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,12,7.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,751.11,8.75,active,2
39,CHEMBL1076576,OC(CCCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,3.2,8.49,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,765.14,9.14,highly_active,3
40,CHEMBL1076577,OC(CCCCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,4.8,8.32,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,779.16,9.53,highly_active,3
41,CHEMBL1076578,OC(CCCCCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,2.4,8.62,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,793.19,9.92,highly_active,3
42,CHEMBL1076579,OC(COc1ccc(Cc2ccc(OCC(O)COc3ccc4c(c3)[C@@]35CCCC[C@H]3[C@@H](C4)N(CC3CCC3)CC5)cc2)cc1)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,0.24,9.62,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,935.3,10.63,highly_active,3
43,CHEMBL107737,CC[C@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,135,6.87,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,219.33,2.58,intermediate,1
44,CHEMBL1079079,COc1ccc(-c2c(C#N)c(C(=O)NN3CCCCC3)nn2-c2ccccc2[125I])cc1,1496,5.83,B,CHEMBL233,Mu opioid receptor,CHEMBL1154290,Displacement of [3H]DAMGO from mu opioid at 10 uM by scintillation counting,Bioorg Med Chem Lett,2009,525.37,4.15,inactive,0
45,CHEMBL1079400,CNC(=O)CN1Cc2ccccc2N(C2CCN(C3CCCCCCCCC3)CC2)S1(=O)=O,2.2,8.66,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,476.69,3.66,highly_active,3
46,CHEMBL1079417,CNC(=O)CN1c2ccccc2N(C2CCN(C3CCCCCC3)CC2)S1(=O)=O,3177,5.5,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,420.58,2.49,inactive,0
47,CHEMBL1079418,CNC(=O)CN1C(=O)OC2(CCN(C3CCC(C(C)(C)C)CC3)CC2)c2ccccc21,113,6.95,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,427.59,4.29,intermediate,1
48,CHEMBL1079562,CNC(=O)Cn1c(=O)n(C2CCN(Cc3ccccc3-c3ccccc3)CC2)c2ccccc21,3.7,8.43,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,454.57,4.05,highly_active,3
49,CHEMBL1079571,CNC(=O)CN1c2ccccc2N(C2CCN(C3CCCCCCCCC3)CC2)S1(=O)=O,107,6.97,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,462.66,3.66,intermediate,1
50,CHEMBL1079940,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCC(C(C)(C)C)CC3)CC2)C1=O,7.3,8.14,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,438.62,3.67,highly_active,3
51,CHEMBL1079941,CNC(=O)CN1Cc2ccccc2N(C2CCN(Cc3ccc(C)c4ccccc34)CC2)C1=O,19,7.72,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,456.59,4.3,active,2
52,CHEMBL1079942,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCC4CCCCC4C3)CC2)C1=O,5.8,8.24,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,436.6,3.42,highly_active,3
53,CHEMBL1079943,CNC(=O)CN1Cc2ccccc2N(C2CCN(C3CCC4CCCCC4C3)CC2)S1(=O)=O,14,7.85,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,474.67,3.12,active,2
54,CHEMBL1080153,O=C(C1=CCCN2CCC[C@@H]12)c1ccccc1O,49000,4.31,B,CHEMBL233,Mu opioid receptor,CHEMBL1154971,Displacement of [3H]DAMGO from human mu opioid receptor expressed in HEK293 cells,Bioorg Med Chem Lett,2010,243.31,2.37,inactive,0
55,CHEMBL108024,CCCCCCCNC(=O)c1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,61.91,7.21,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,J Med Chem,2003,555.72,5.27,active,2
56,CHEMBL1080463,CNC(=O)CN1C(=O)OC2(CCN(C3CCCCCCCCC3)CC2)c2ccccc21,27,7.57,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,427.59,4.57,active,2
57,CHEMBL1080464,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCCCCCCCC3)CC2)C1=O,1.1,8.96,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,438.62,3.95,highly_active,3
58,CHEMBL1080483,CNC(=O)CN1c2ccccc2N(C2CCN(C3CCC4CCCCC4C3)CC2)S1(=O)=O,268,6.57,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,460.64,3.13,intermediate,1
59,CHEMBL1080484,CNC(=O)Cn1c(=O)n(C2CCN([C@H]3CC[C@H](C(C)C)CC3)CC2)c2ccccc21,30,7.52,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,412.58,3.4,active,2
60,CHEMBL1080485,CNC(=O)Cn1c(=O)n(C2CCN([C@H]3CC[C@@H](C(C)C)CC3)CC2)c2ccccc21,69,7.16,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,412.58,3.4,active,2
61,CHEMBL1080507,CNC(=O)Cn1c(=O)n(C2CCN(Cc3cccc4ccccc34)CC2)c2ccccc21,67,7.17,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,428.54,3.54,active,2
62,CHEMBL1080508,CNC(=O)Cn1c(=O)n(C2CCN(Cc3ccc(C)c4ccccc34)CC2)c2ccccc21,138,6.86,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,442.56,3.85,intermediate,1
63,CHEMBL1080520,CNC(=O)Cn1c(=O)n(C2CCN(Cc3ccc(OC)c4ccccc34)CC2)c2ccccc21,120,6.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,458.56,3.55,intermediate,1
64,CHEMBL1080674,Cc1cccc(O)c1C(=O)C1=CCCCN2CCC[C@@H]12,13000,4.89,B,CHEMBL233,Mu opioid receptor,CHEMBL1154971,Displacement of [3H]DAMGO from human mu opioid receptor expressed in HEK293 cells,Bioorg Med Chem Lett,2010,271.36,3.07,inactive,0
65,CHEMBL108068,C[C@@]12CCCCS[C@@H](Cc3ccc(O)cc31)C2N,0.79,9.1,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,Bioorg Med Chem Lett,2002,263.41,2.82,highly_active,3
66,CHEMBL108083,O=C(NCCc1ccccc1)c1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,23.53,7.63,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,J Med Chem,2003,561.68,4.55,active,2
67,CHEMBL1080925,CCCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,0.21,9.68,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,465.72,7.59,highly_active,3
68,CHEMBL1081084,c1cc2c(cc1OCC1CO1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,7.3,8.14,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,367.53,4.32,highly_active,3
69,CHEMBL1081093,CCCCCCCCCCOc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,70,7.16,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,451.74,8.06,active,2
70,CHEMBL1081191,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCC(C(C)C)CC3)CC2)C1=O,5.2,8.28,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,424.59,3.28,highly_active,3
71,CHEMBL1081192,CNC(=O)CN1Cc2ccccc2N(C2CCN(C3CCC(C(C)C)CC3)CC2)S1(=O)=O,12,7.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,462.66,2.98,active,2
72,CHEMBL1081250,CCCCCCCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,7.4,8.13,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,467.74,7.04,highly_active,3
73,CHEMBL1081608,OC(COc1ccccc1)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,6.5,8.19,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,Bioorg Med Chem Lett,2010,461.65,5.36,highly_active,3
74,CHEMBL1081741,CNC(=O)CN1C(=O)OC2(CCN(C3CCCCCC3)CC2)c2ccccc21,527,6.28,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,385.51,3.4,intermediate,1
75,CHEMBL1082013,Cc1cccc(O)c1C(=O)C1=CCN2CCC[C@@H]12,3200,5.5,B,CHEMBL233,Mu opioid receptor,CHEMBL1154971,Displacement of [3H]DAMGO from human mu opioid receptor expressed in HEK293 cells,Bioorg Med Chem Lett,2010,243.31,2.29,inactive,0
76,CHEMBL1082092,CNC(=O)CN1Cc2ccccc2N(C2CCN(C3CCC(C(C)C)CC3)CC2)C1=O,21,7.68,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,Bioorg Med Chem Lett,2009,426.61,3.85,active,2
